android.hardware.camera2.cts.AllocationTest#testAllocationFromCameraFlexibleYuv,<a href='http://online.mediatek.com/FAQ#/SW/FAQ13800'>[FAQ13800]
android.hardware.camera2.cts.BurstCaptureRawTest#testManualAutoSwitch,
android.hardware.camera2.cts.BurstCaptureRawTest#testMetadataRoundDown,
android.hardware.camera2.cts.BurstCaptureRawTest#testRawSensorSize,
android.hardware.camera2.cts.BurstCaptureRawTest#testTimestamp,
android.hardware.camera2.cts.BurstCaptureTest#testYuvBurst,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceAbort,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceCapture,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceCaptureBurst,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceCreateCaptureBuilder,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceManualTemplate,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDevicePreviewTemplate,<a href='http://online.mediatek.com/FAQ#/SW/FAQ14228'>[FAQ14228]
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceRecordingTemplate,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceRepeatingBurst,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceRepeatingRequest,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceSetErrorListener,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceStillTemplate,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceVideoSnapShotTemplate,
android.hardware.camera2.cts.CameraDeviceTest#testCameraDeviceZSLTemplate,
android.hardware.camera2.cts.CameraDeviceTest#testChainedOperation,
android.hardware.camera2.cts.CameraDeviceTest#testCreateSessions,
android.hardware.camera2.cts.CameraDeviceTest#testInvalidCapture,
android.hardware.camera2.cts.CameraDeviceTest#testPrepare,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerGetCameraCharacteristics,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerGetDeviceIdList,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerInvalidDevice,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerListener,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerListenerCallbacks,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerOpenAllCameras,
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerOpenCameraTwice,<a href='http://online.mediatek.com/FAQ#/SW/FAQ18757'>[FAQ18757]
android.hardware.camera2.cts.CameraManagerTest#testCameraManagerOpenCamerasSerially,
android.hardware.camera2.cts.CaptureRequestTest#testAeModeAndLock,
android.hardware.camera2.cts.CaptureRequestTest#testAfModes,
android.hardware.camera2.cts.CaptureRequestTest#testAntiBandingModes,
android.hardware.camera2.cts.CaptureRequestTest#testAwbModeAndLock,
android.hardware.camera2.cts.CaptureRequestTest#testBlackLevelLock,
android.hardware.camera2.cts.CaptureRequestTest#testCameraStabilizations,
android.hardware.camera2.cts.CaptureRequestTest#testColorCorrectionControl,
android.hardware.camera2.cts.CaptureRequestTest#testDigitalZoom,<a href='http://online.mediatek.com/FAQ#/SW/FAQ14249'>[FAQ14249]
android.hardware.camera2.cts.CaptureRequestTest#testDigitalZoomPreviewCombinations,<a href='http://online.mediatek.com/FAQ#/SW/FAQ14249'>[FAQ14249]
android.hardware.camera2.cts.CaptureRequestTest#testDynamicBlackWhiteLevel,
android.hardware.camera2.cts.CaptureRequestTest#testEdgeModeControl,
android.hardware.camera2.cts.CaptureRequestTest#testEffectModes,
android.hardware.camera2.cts.CaptureRequestTest#testFaceDetection,
